"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"visvijvercomplex","visvijvercomplex","Het geheel aan voorzieningen t.b.v. sportvissen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"vliedberg","vliedberg","Kunstmatige heuvel waarop men bij overstromingen kan vluchten.","BRT","-","-","ja","nee","ja","01-01-2026","-"
"vliegveld, luchthaven","vliegveld, luchthaven","Vliegveld voor verkeersvliegtuigen met groot, effen terrein met al dan niet verharde banen, waar vliegtuigen kunnen opstijgen en landen, eventueel met accommodatie voor ontvangst en vertrek van passagiers en verzending van goederen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"volkstuinen","volkstuinen","Het geheel aan voorzieningen t.b.v. hobbytuinbouw.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"waterkering","waterkering","Geheel van een dijk of dam, inclusief talud.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"wildwissel","wildwissel","Civieltechnisch kunstwerk om dieren een veilige oversteek te bieden over of onder een weg.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"woonwagencentrum","woonwagencentrum","Plaats waar gewoond wordt in woonwagens.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"zenderpark","zenderpark","Gebied waar meerdere zendmasten staan opgesteld.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"ziekenhuiscomplex","ziekenhuiscomplex","Het geheel aan voorzieningen en gebouwen die tezamen een ziekenhuis vormen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"zonnepark","zonnepark","Gebied ten behoeve van de opwekking van zonne-energie of zonnewarmte.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"zoutwinning","zoutwinning","Gebied waar zoutwinning plaatsvindt.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"zuiveringsinstallatie","zuiveringsinstallatie","Het gebied omvattende het geheel aan voorzieningen t.b.v. de zuivering van afvalwater.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"zweefvliegveldterrein","zweefvliegveldterrein","Het geheel aan voorzieningen, bijvoorbeeld gebouwen of terreinen, voor (de beoefening van) de zweefvliegsport.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"zwembadcomplex","zwembadcomplex","Het geheel aan voorzieningen rond een openbaar zwembad.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"ongeclassificeerd","ongeclassificeerd","Het typeFunctioneelGebied is anders dan de beschikbare attribuutwaarden.","BRT","-","-","nee","nee","ja","01-01-2026","-"
